"main", "270", "SYSTEM", "Line Step", "<source unavailable>"
"main", "271", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:3, target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "272", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "273", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "274", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)"
"main", "275", "SYSTEM", "New Object", "object=junit.tests.ExtensionTest:3"
"main", "276", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;), target=junit.tests.ExtensionTest:3#junit.tests.ExtensionTest:3"
"main", "277", "SYSTEM", "Method Entered", ""
"main", "278", "SYSTEM", "Variable Write", "context=junit.tests.ExtensionTest:3#junit.tests.ExtensionTest:3, name=""testRunningErrorInTestSetup"""
"main", "279", "SYSTEM", "Line Step", "<source unavailable>"
"main", "280", "SYSTEM", "Method Call", "caller=junit.tests.ExtensionTest:3#junit.tests.ExtensionTest:3, target=junit.framework.TestCase:3#junit.framework.TestCase:3"
"main", "281", "SYSTEM", "Method Entered", ""
"main", "282", "SYSTEM", "Variable Write", "context=junit.framework.TestCase:3#junit.framework.TestCase:3, name=""testRunningErrorInTestSetup"""
"main", "283", "SYSTEM", "Line Step", "<source unavailable>"
"main", "284", "SYSTEM", "Method Call", "caller=junit.framework.TestCase:3#junit.framework.TestCase:3, target=junit.framework.Assert:3#junit.framework.Assert:3"
"main", "285", "SYSTEM", "Method Entered", ""
"main", "286", "SYSTEM", "Line Step", "<source unavailable>"
"main", "287", "SYSTEM", "Line Step", "<source unavailable>"
